city,season,travel_score,temp_fahrenheit_2m_mean,precipitation_sum
Chicago,Fall,64.18768164835164,54.569,2.881538461538461
Chicago,Spring,58.51807081521739,48.60485326086956,2.943695652173913
Chicago,Summer,72.71628203392467,71.68460084033613,4.1049891540130155
Chicago,Winter,39.47268120842572,28.552544345898006,2.016629711751663
Los Angeles,Fall,87.53812516483517,67.1298021978022,0.43890109890109885
Los Angeles,Spring,82.39113483695652,60.35076630434783,1.0915217391304348
Los Angeles,Summer,88.79796054310613,71.58426003734827,0.3149674620390455
Los Angeles,Winter,71.13485521064301,54.76281596452328,3.2982261640798227
Miami,Fall,62.35590697802198,78.37826923076923,6.013186813186813
Miami,Spring,72.3795710326087,76.43494021739131,3.090217391304348
Miami,Summer,59.591322338935576,82.10186974789916,6.005206073752712
Miami,Winter,77.36286746119734,70.43533813747229,2.6800443458980046
New York,Fall,67.55719868131868,57.6586043956044,3.930989010989011
New York,Spring,61.59436065217391,52.09377173913043,3.9771739130434782
New York,Summer,73.55143124805478,74.3619654528478,3.8733188720173533
New York,Winter,45.158389412416845,34.9495288248337,3.3492239467849223
Seattle,Fall,65.01594186813188,52.938747252747255,3.718241758241758
Seattle,Spring,64.24784657608696,48.744288043478264,2.4904347826086957
Seattle,Summer,85.07409162776221,64.23871615312791,0.9707158351409978
Seattle,Winter,47.131148170731706,40.71664634146342,5.18980044345898
